Name,Aliases,Nationality,Ethnicity,Date of Birth,Career start,Cup,Bra,Bust,Waist,Hip,Weight,Height
Lily Rader,Lilly Rader,Unknown,Caucasian,"August 15, 1996",2015,A,32A,81,66 cm,88 cm,51 kg,167 cm
Joclyn Stone,"Jocelyn Stone, Jocalyn Stone, Jaclyn Stone",American,Caucasian,"August 1, 1969",2007,D,36D,91,76 cm,93 cm,65 kg,157 cm
Lalita Latina,Unknown,Colombian,Latin,"March 10, 2006",2024,Unknown,Unknown,76,58 cm,86 cm,41 kg,152 cm
Areta Ridera,Unknown,Bulgarian,Caucasian,"October 28, 1994",2024,C,13C,33,Unknown,Unknown,51 kg,162 cm
Cherry English,Cherry the Doll,Unknown,Caucasian,"March 15, 1995",2017,DD,32DD,81,Unknown,Unknown,49 kg,149 cm
Scarlet Assian,Unknown,Unknown,Asian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,167 cm
Shanie Gaviria,"Shanie Love, Shani Love",Unknown,Latin,"January 21, 1989",2009,E,38E,96,60 cm,91 cm,59 kg,160 cm
Klara Devine,Unknown,British,Caucasian,"November 11, 1990",2018,KK,34KK,86,Unknown,Unknown,Unknown,170 cm
Ginebra Bellucci,"Ginebra Belluci, Ginebra Belucci",Spanish,Caucasian,"June 8, 1996",2018,A,34A,86,58 cm,88 cm,48 kg,154 cm
Sofia Rose,Unknown,Unknown,Latin,"July 24, 1975",Unknown,JJ,38JJ,96,101 cm,132 cm,109 kg,170 cm
Erica Campbell,"Lena Paille, Erica Rose Campbell, Erica Rose",American,Caucasian,"May 12, 1981",2001,D,34D,86,63 cm,91 cm,51 kg,162 cm
Alice Merchesi,"Alice Merches, Alice Cheshire",Unknown,Caucasian,"June 26, 1997",Unknown,B,32B,81,58 cm,63 cm,38 kg,134 cm
Brooklyn Blue,Brooklyn Belle,Unknown,Caucasian,"January 7, 1991",2012,G,30G,76,60 cm,91 cm,54 kg,167 cm
Cameron Dee,Embry Prada,Unknown,Caucasian,"June 28, 1986",2012,C,34C,86,60 cm,91 cm,62 kg,167 cm
Melisa Mendiny,"Kristina Walker, Kristina Uhrinova, Cristin Uhrinova, Kristina UhrinovÃ¡, Melisa Mendini, Melissa Mendini, Carrie Du Four",Unknown,Caucasian,"November 25, 1985",2007,C,34C,86,60 cm,91 cm,43 kg,157 cm
Sahara Leone,Unknown,Unknown,Latin,"November 30, 1993",2019,DD,38DD,96,66 cm,91 cm,67 kg,172 cm
Denisa Heaven,"Denisa Heaven Jeniffer, Denisa Heaven Jennifer",Unknown,Caucasian,"January 24, 1988",2008,B,34B,86,60 cm,88 cm,49 kg,154 cm
Barbie Sins,Unknown,Unknown,Caucasian,"December 17, 1991",2017,D,34D,86,60 cm,86 cm,48 kg,154 cm
Kiki Minaj,Unknown,Unknown,Black,"September 2, 1984",Unknown,E,32E,81,66 cm,81 cm,48 kg,154 cm
Katie Monroe,Unknown,Unknown,Caucasian,"June 1, 1984",2019,DDD,32DDD,81,Unknown,Unknown,47 kg,172 cm
Kamryn Jayde,Kamryn Jade,Unknown,Caucasian,"September 14, 1997",2019,C,34C,86,60 cm,86 cm,54 kg,167 cm
Di Devi,DiDevi,Unknown,Caucasian,"November 25, 1982",2017,C,34C,86,63 cm,93 cm,Unknown,160 cm
Julia Maze,Veranika Allioni,Unknown,Caucasian,"November 6, 1992",2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Leigh Raven,"Amanda Woods, Leigh Raven Suicide",Unknown,Caucasian,"November 30, 1991",2016,B,32B,81,63 cm,83 cm,54 kg,172 cm
Olya Derkach,"Julieta Davidovich, Viktoria Moore",Ukrainian,Caucasian,September 2002,2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Camila Palmer,Unknown,Colombian,Latin,"November 26, 1998",2020,C,34C,86,63 cm,91 cm,49 kg,162 cm
Jaylene Rio,"Daylene Rio, Jaylene Rios",American,Latin,"April 16, 1975",2008,H,36H,91,66 cm,96 cm,56 kg,157 cm
Viola Bailey,"Viola Paige, Judy Violette, Violetta Banks, Vanea, Viola Baileys",Latvian,Caucasian,"March 3, 1993",2013,DD,34DD,86,60 cm,91 cm,54 kg,165 cm
Holly Halston,"Jasmin Nadine Carte, Mrs. Holly, Ms. Holly, Holly Holsten, Holly Holston",American,Caucasian,"December 31, 1975",2001,DD,36DD,91,60 cm,81 cm,51 kg,154 cm
Lily Cade,Unknown,American,Caucasian,"January 25, 1985",2008,D,32D,81,68 cm,91 cm,59 kg,165 cm
Shona River,Unknown,Unknown,Caucasian,"July 10, 1992",2016,A,34A,86,63 cm,91 cm,51 kg,170 cm
Kayla Baum,Unknown,Unknown,Caucasian,Unknown,2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Honey Hayes,Unknown,American,Caucasian,"January 17, 2001",2020,C,34C,86,66 cm,83 cm,48 kg,160 cm
Daisy Monroe,Unknown,Unknown,Caucasian,"December 10, 1990",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,45 kg,152 cm
Aubrey Star,"Melissa Agnolucci, Audrey",Unknown,Caucasian,"April 25, 1995",2013,A,32A,81,55 cm,81 cm,43 kg,157 cm
Jessi Rae Moore,Unknown,American,Caucasian,"August 4, 1969",2023,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,165 cm
Marilyn Johnson,Unknown,Unknown,Caucasian,"May 12, 1999",2020,C,34C,86,Unknown,Unknown,56 kg,172 cm
Kitty Lynn,Unknown,American,Caucasian,"January 1, 2001",2022,C,34C,86,60 cm,88 cm,45 kg,160 cm
Victoria Daniels,"Viktoria Daniels, Vikki, Victoria Daniel, Jana, Angelica Fox, Sisi, Viktoria Daniel, Saskia, Monika, Victoria Dayniels, Laura Neal",Unknown,Caucasian,"September 27, 1993",Unknown,B,34B,86,60 cm,91 cm,54 kg,167 cm
Havana Bleu,Unknown,Unknown,Latin,"August 25, 1987",2019,C,32C,81,63 cm,86 cm,54 kg,160 cm
Kaitlyn Katsaros,Unknown,Unknown,Caucasian,"December 22, 1997",2020,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,149 cm
Naomi Nevena,"Naomi Nia, Lily",Unknown,Caucasian,"September 20, 1992",2013,B,34B,86,68 cm,91 cm,49 kg,157 cm
Chloe Wildd,Unknown,Canadian,Caucasian,1998,Unknown,D,13D,33,25 cm,38 cm,47 kg,157 cm
Anna N,"Dory, Usha",Unknown,Caucasian,Unknown,Unknown,A,34A,86,60 cm,81 cm,Unknown,157 cm
Christina Shine,Unknown,Unknown,Caucasian,"December 31, 1988",2015,D,34D,86,60 cm,88 cm,51 kg,154 cm
Sofi Goldfinger,"Sofy Goldfinger, Simona C, Sophi, Sofie Goldfinger",Unknown,Caucasian,"November 24, 1993",2015,A,34A,86,63 cm,88 cm,49 kg,157 cm
Opal Castle,Unknown,Unknown,Caucasian,Unknown,2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,162 cm
Maiko Saegimi,"Rina Kohda, Rika Kinjoh, Rika Kinjou, Rina Koda, Hasumi Nakagawa, Rika Kinjo, Rina Kouda, Aki Hanazono, Nao Shiraishi",Japanese,Asian,"November 30, 1986",2014,D,34D,86,58 cm,91 cm,53 kg,162 cm
Stacey Poole,"Staci Poole, Stacey P",Unknown,Caucasian,"October 22, 1990",2011,GG,34GG,86,66 cm,86 cm,64 kg,162 cm
Darcy Dark,Candy Cru,Unknown,Caucasian,"July 12, 2001",2019,B,36B,91,60 cm,81 cm,55 kg,160 cm
Ash Hollywood,Ashley Theis,Unknown,Caucasian,"May 27, 1989",2010,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,157 cm
Isa Bella,"IsaBallerina, HulkandIsa",Unknown,Latin,"October 5, 1995",2025,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,160 cm
Vanessa Veracruz,Unknown,American,Latin,"December 6, 1987",2011,C,36C,91,66 cm,91 cm,51 kg,165 cm
Tiffany Love,"Lady Tiffany, Tiffany Roberts, Tiffany Diamond, Mistress Tiffany",Unknown,Caucasian,Unknown,2007,B,34B,86,66 cm,86 cm,56 kg,167 cm
Jen Loveheart,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Apra Shay,Unknown,Spanish,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nicky Hunter,"Nicki Hunter, Nickie Hunter, Nikki Hunter, Nikk Hunter, Nikky Hunter, Nichole Marie Dyben",American,Caucasian,"December 19, 1979",2003,D,34D,86,73 cm,88 cm,49 kg,167 cm
Gianna Nicole,Unknown,Unknown,Caucasian,"March 16, 1995",2014,C,34C,86,71 cm,96 cm,54 kg,167 cm
Sienna West,Unknown,Unknown,Latin,"November 6, 1977",2006,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,157 cm
Diamond Franco,Unknown,American,Latin,"January 18, 2001",2024,C,34C,86,68 cm,Unknown,63 kg,162 cm
Sweet Cat,"Sandra Sweet, Melany Fox",Unknown,Caucasian,"August 1, 1992",2011,B,34B,86,63 cm,91 cm,56 kg,167 cm
Melissa Lynn,Unknown,Unknown,Caucasian,"December 22, 1979",Unknown,D,32D,81,66 cm,86 cm,49 kg,162 cm
Paisley Paige,Unknown,Unknown,Asian,"October 3, 1998",2020,B,32B,81,66 cm,76 cm,43 kg,154 cm
Victoria Rae,"Victoria Rae Black, Victoria Ray Black",Unknown,Caucasian,"August 30, 1988",2011,C,34C,86,60 cm,86 cm,54 kg,172 cm
Lucretia K,"Angel B Megan, Pam E, Angel B",Ukrainian,Caucasian,"May 25, 1995",2015,C,33C,83,60 cm,86 cm,Unknown,162 cm
Isabel Moon,Unknown,Unknown,Caucasian,"October 30, 1999",Unknown,B,32B,81,66 cm,76 cm,49 kg,149 cm
Foxy Di,"Foxy Dolce, Kleine Punci, Angel C, Foxy R, Nensi B Medina, Foxi Di",Russian,Caucasian,"September 14, 1994",2012,B,34B,86,60 cm,86 cm,44 kg,154 cm
Gwen Vicious,Unknown,Unknown,Caucasian,"December 11, 1997",2019,B,32B,81,68 cm,86 cm,54 kg,162 cm
Luciana Lucy,"Lucianna Luci, Lucianna Lucci",Czech,Caucasian,"July 29, 1999",2024,Unknown,Unknown,Unknown,Unknown,Unknown,47 kg,160 cm
Havana Ginger,"Mika Brown, Havanna Ginger",Cuban,Latin,"February 27, 1984",2004,D,34D,86,66 cm,91 cm,54 kg,160 cm
Jasmine James,Unknown,Unknown,Caucasian,"September 27, 1991",2008,FF,34FF,86,66 cm,91 cm,59 kg,162 cm
Mariska X,Unknown,Brazilian,Latin,"May 1, 1978",2009,D,38D,96,71 cm,93 cm,54 kg,172 cm
Sloan Harper,Unknown,Unknown,Caucasian,"July 1, 1994",2017,C,32C,81,63 cm,88 cm,56 kg,154 cm
Ailee Anne,Unknown,Unknown,Caucasian,"January 1, 1998",2021,Unknown,Unknown,83,58 cm,78 cm,54 kg,165 cm
Emily Mayers,Unknown,Unknown,Caucasian,"December 23, 2000",2020,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,172 cm
Sary Gimalda,"Sary Gimaldi, Sary Galmida",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sofi Vega,Unknown,Colombian,Latin,"July 26, 1995",2021,C,13C,33,22 cm,38 cm,54 kg,157 cm
Paige Turnah,"Paige Turnam, Kiri",Unknown,Caucasian,"February 26, 1988",2007,E,36E,91,68 cm,106 cm,75 kg,180 cm
Scarlet Red,"Scarlett Red, Scarlet Redd, Charlotte, Scarlette Red",Unknown,Caucasian,"August 1, 1992",2013,C,34C,86,68 cm,91 cm,57 kg,172 cm
Jessae Rosae,Jessae Rossae,Unknown,Caucasian,"August 26, 1998",2019,Unknown,Unknown,Unknown,Unknown,Unknown,44 kg,157 cm
Noa Tevez,Unknown,Unknown,Latin,"January 8, 1993",2021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bellaria,Unknown,Czech,Caucasian,"February 2, 2003",2024,Unknown,Unknown,Unknown,Unknown,Unknown,47 kg,156 cm
Abby Somers,Unknown,Unknown,Caucasian,"September 15, 1980",2021,D,36D,91,66 cm,91 cm,Unknown,162 cm
Layton Benton,Unknown,Unknown,Black,"October 10, 1991",2012,DD,38DD,96,66 cm,109 cm,61 kg,167 cm
Kimberly Kane,"Kimberly Kame, Kimberly Cain, Kimberly Kain",Unknown,Caucasian,"August 28, 1983",2003,B,36B,91,66 cm,86 cm,61 kg,172 cm
Sunni Wrin,Unknown,American,Caucasian,2000,Unknown,C,34C,86,60 cm,88 cm,Unknown,157 cm
Ria Kurumi,Unknown,Unknown,Asian,"February 7, 1999",2017,F,33F,83,53 cm,86 cm,Unknown,383 cm
Tiffany Star,"Tiff Star, Tiffany Taylor",Unknown,Caucasian,"July 18, 1991",2009,Unknown,Unknown,Unknown,Unknown,Unknown,50 kg,160 cm
Kitty Doll,Kitty Doll88,Unknown,Caucasian,"February 22, 2000",2021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,160 cm
Stacy Snake,"Stacey Snake, Brenda Wang",Unknown,Caucasian,"April 26, 1989",2011,B,32B,81,60 cm,88 cm,54 kg,167 cm
Puma Swede,"Puma, Johanna",Swedish,Caucasian,"September 13, 1976",2004,F,32F,81,63 cm,88 cm,56 kg,177 cm
Sandra Star,Unknown,Unknown,Caucasian,"September 3, 1984",2004,H,32H,81,71 cm,91 cm,59 kg,167 cm
Canela Skin,Ivana Ramirez,Unknown,Latin,"July 6, 1991",2017,C,34C,86,58 cm,83 cm,49 kg,157 cm
Nicky Angel,"Yenna Lovely, Jena Lover, Jenna Lovely",Unknown,Caucasian,"February 8, 1988",2006,C,36C,91,63 cm,88 cm,48 kg,162 cm
Sara Kay,"Sarah Kay, Izabela",Unknown,Caucasian,"March 16, 1994",2015,B,32B,81,66 cm,91 cm,49 kg,167 cm
Dani Lynn,Unknown,Unknown,Caucasian,"July 12, 1999",2019,B,34B,86,60 cm,86 cm,44 kg,152 cm
Proxy Paige,Unknown,Unknown,Caucasian,"May 15, 1989",2010,Unknown,Unknown,Unknown,Unknown,Unknown,52 kg,157 cm
Lucy Heart,"Scarlet, Diliara",Unknown,Caucasian,"October 14, 1990",Unknown,B,34B,86,68 cm,93 cm,59 kg,167 cm
Sahara Knite,"Smara Knite, Sahara Knight",Unknown,Asian,"February 4, 1975",2004,C,30C,76,66 cm,91 cm,56 kg,162 cm
Cheyenne Duvallon,Unknown,Swiss,Caucasian,1982,2022,G,40G,101,71 cm,99 cm,81 kg,Unknown
Mandy M,Mandy Monroe,American,Caucasian,July 1970,2011,F,34F,86,68 cm,86 cm,Unknown,152 cm
Destiny Porter,Desi Potter,Unknown,Caucasian,"December 2, 1977",2008,Unknown,Unknown,Unknown,Unknown,Unknown,57 kg,170 cm
Anastasia Rose,Lydia,American,Caucasian,"June 24, 1997",2015,D,34D,86,63 cm,91 cm,51 kg,162 cm
Lady Sonia,"Gillian Young, Gill Ellis-Young, Gillian Susan Young",Unknown,Caucasian,"January 21, 1964",1982,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,170 cm
Sexy Susi,"Susanne B, Magda Polack, Jadwiga Baginska, Susanne Nigbezsmieta",Unknown,Caucasian,"April 12, 1972",Unknown,DD,34DD,86,63 cm,91 cm,56 kg,157 cm
Sola Zola,Unknown,Unknown,Caucasian,"December 12, 1999",2019,C,34C,86,60 cm,91 cm,49 kg,172 cm
Rachel Evans,"Jackie Cudna, Rachel Honey, Rachel Evens, Radka Vodstrcilova, Radka, Katka",Unknown,Caucasian,"August 31, 1984",2003,C,36C,91,58 cm,86 cm,51 kg,167 cm
Nikki Sweet,Unknown,Unknown,Caucasian,"July 14, 1995",2020,B,32B,81,60 cm,86 cm,Unknown,162 cm
Molly Evans,Anna Ushakova,Russian,Caucasian,"November 9, 2003",2021,JJ,34JJ,86,81 cm,101 cm,70 kg,165 cm
Lou Charmelle,Lou Charmel,Unknown,Caucasian,"October 8, 1983",2008,A,32A,81,60 cm,86 cm,44 kg,157 cm
Winter Jade,Winter Spice,American,Latin,"December 11, 1999",2019,C,32C,81,60 cm,86 cm,43 kg,157 cm
Alice Visby,Unknown,Unknown,Caucasian,"October 21, 1996",2020,C,34C,86,60 cm,91 cm,57 kg,167 cm
Lucy Foxx,"Lucy Foxxlab, Lucy Foxxx, Lucy TheFoxxlab",American,Caucasian,"February 23, 2001",2024,C,34C,86,Unknown,Unknown,Unknown,180 cm
Rharri Rhound,Rhonda Rhound,Unknown,Caucasian,"November 6, 1997",2017,B,32B,81,60 cm,91 cm,54 kg,165 cm
Gia Tvoricceli,Unknown,Unknown,Caucasian,"January 1, 1995",2021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chessie Kay,Chessie King,Unknown,Caucasian,"July 8, 1991",Unknown,G,30G,76,60 cm,88 cm,49 kg,165 cm
Lyra Lockhart,Unknown,Unknown,Caucasian,"August 12, 1998",2018,D,34D,86,71 cm,93 cm,51 kg,152 cm
Scarlett Foxx,Unknown,American,Caucasian,Unknown,2023,C,36C,91,60 cm,88 cm,49 kg,154 cm
Didi Zerati,Unknown,Unknown,Caucasian,"February 12, 1990",2021,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,162 cm
Kinsley Karter,Unknown,Unknown,Black,"August 2, 1997",2018,D,32D,81,58 cm,88 cm,49 kg,160 cm
Lizz Tayler,"Lizz Taylor, Elizabeth Slamka, Liz Tayler, Lizz Tailer",Unknown,Caucasian,"June 9, 1990",2010,D,34D,86,60 cm,86 cm,54 kg,160 cm
Katarina Muti,Ariel Temple,Unknown,Caucasian,"January 14, 1995",2014,D,35D,88,60 cm,88 cm,46 kg,165 cm
Paige Delight,Rubber Ruby,Unknown,Caucasian,"April 2, 1987",2011,F,38F,96,68 cm,91 cm,59 kg,177 cm
Selvaggia Babe,Erytheia,Unknown,Caucasian,"May 24, 1995",2016,A,34A,86,63 cm,96 cm,54 kg,162 cm
Shae Celestine,Unknown,Unknown,Caucasian,"September 22, 1997",2017,B,32B,81,60 cm,86 cm,44 kg,160 cm
Melrose Foxxx,"Melrose Foxx, Redd Foxx, Red Foxxx",Unknown,Black,"January 22, 1983",2007,C,32C,81,60 cm,91 cm,51 kg,154 cm
Frida Sante,"Frida Santé, Frida Mendoza, Frieda Sante",Mexican,Latin,"April 11, 1985",2013,C,32C,81,60 cm,88 cm,43 kg,157 cm
Brianna Bourbon,Brianna Nicole Bourbon,American,Latin,"July 2, 1987",2022,C,36C,91,66 cm,101 cm,59 kg,149 cm
Angel Long,"Sarah Slick, Angel T., Sarah Elizabeth Read, Sarah Reed, Taz, Sarah Read",Unknown,Caucasian,"November 21, 1980",2001,Unknown,Unknown,Unknown,Unknown,Unknown,69 kg,182 cm
Gigi Rouge,Little Gigi 79,British,Caucasian,"July 5, 1998",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,170 cm
Kira Clark,Анастасия Иванова,Russian,Caucasian,"December 17, 2001",2022,G,34G,86,71 cm,106 cm,69 kg,162 cm
Carly Rae,Carly Reigns,American,Caucasian,"August 31, 1996",2024,DD,34DD,86,71 cm,96 cm,Unknown,177 cm
Daisy Marie,"Daisey Dukes, Daisy Dukes, Valerie Cruz, Daisy Tattoo, Dayse Dukes",American,Latin,"February 6, 1984",2002,D,34D,86,60 cm,81 cm,49 kg,160 cm
Alexis Amore,"Alexis Lamore, Fabiola Melgar, Alexis Amour",Unknown,Latin,"December 29, 1978",1999,Unknown,Unknown,Unknown,Unknown,Unknown,52 kg,154 cm
Sheila Grant,"Shelia, Virginia Duval, Annette, Tia Wilshire, Csilla, Shelia Grant, Annie Doxa, Francesca, Gwenyth",Unknown,Caucasian,"December 11, 1981",2004,E,36E,91,68 cm,91 cm,54 kg,167 cm
Hareniks,Unknown,Unknown,Unknown,Unknown,Unknown,A,Unknown,Unknown,Unknown,Unknown,Unknown,170 cm
Kayla East,Kayla Jade East,Australian,Caucasian,"March 29, 1994",2022,D,34D,86,Unknown,Unknown,Unknown,165 cm
Honey Heston,Unknown,Unknown,Unknown,Unknown,Unknown,H,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ziggy Star,Unknown,Unknown,Caucasian,"April 20, 1994",2015,A,32A,81,63 cm,86 cm,43 kg,154 cm
Tina Blade,Dunja Mikulcic,Unknown,Caucasian,"October 22, 1990",2011,B,32B,81,71 cm,78 cm,51 kg,162 cm
Alice Hernandez,Alice Hernandes,Brazilian,Caucasian,"January 20, 1997",2023,D,30D,76,Unknown,Unknown,Unknown,152 cm
Yum Thee Boss,Unknown,Unknown,Black,Unknown,2019,DD,36DD,91,66 cm,116 cm,77 kg,157 cm
Melissa Monet,"Mindy DeBaise, Mellisa Monet",American,Caucasian,"July 16, 1964",1994,DD,32DD,81,58 cm,83 cm,49 kg,154 cm
Dylan Phoenix,Unknown,Unknown,Caucasian,"October 2, 1992",Unknown,DD,34DD,86,71 cm,96 cm,62 kg,172 cm
Layla London,Unknown,American,Caucasian,"October 31, 1994",2014,DD,34DD,86,63 cm,91 cm,51 kg,160 cm
Kiera Winters,Unknown,Unknown,Caucasian,"February 2, 1993",2012,B,32B,81,63 cm,86 cm,43 kg,154 cm
Payton Avery,Unknown,Unknown,Caucasian,"May 22, 1996",2020,A,32A,81,55 cm,86 cm,51 kg,167 cm
Jay Killa,Unknown,American,Caucasian,"September 4, 1997",2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Victoria Liu,SunBabyLiu,"Taiwanese, American",Asian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Coco Rains,Costina Munteanu,"Romanian, Austrian",Caucasian,"February 3, 1988",2024,G,38G,96,Unknown,Unknown,Unknown,157 cm
Bobbi Starr,"Elisabeth Evans, Bobby Starr, Bobbi Star",American,Caucasian,"April 6, 1983",2006,C,34C,86,68 cm,99 cm,59 kg,172 cm
Elisa Calvi,Unknown,Unknown,Caucasian,"October 26, 1995",Unknown,E,36E,91,Unknown,Unknown,Unknown,Unknown
Abbey Brooks,"Holly Browning, Abbey Brookes, Abby Brooklly Browning, Abby Brooks, Abbey Brook, Abbey Brookess",American,Caucasian,"February 17, 1983",2006,DD,36DD,91,68 cm,91 cm,56 kg,167 cm
Angela Sommers,Angela Summers,American,Caucasian,"June 21, 1983",2009,C,36C,91,63 cm,91 cm,59 kg,167 cm
Sylvia Bateman,Unknown,Unknown,Caucasian,"June 20, 2000",2018,G,38G,96,Unknown,Unknown,77 kg,165 cm
Amber Lynn,"Laura Adams, Amber Lynne, Amber Lin, Amber Lynn Lane, Miss Amber Lynn, Laura Lynn Allen",American,Caucasian,"September 3, 1964",1983,D,36D,91,60 cm,88 cm,51 kg,167 cm
Izzy Green,"Abella Skies, Bella Skies",Unknown,Latin,"March 11, 2002",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,170 cm
Anna Blaze,Anna Forever,American,Caucasian,"January 30, 1999",2018,F,34F,86,71 cm,86 cm,65 kg,162 cm
Angel Summers,Unknown,Unknown,Caucasian,Unknown,2014,DD,32DD,81,66 cm,81 cm,Unknown,167 cm
Vittoria Divine,Unknown,French,Caucasian,"February 10, 1979",2022,Unknown,Unknown,Unknown,Unknown,Unknown,53 kg,165 cm
Amy Reid,"Amy Reed, Amy Ried",Unknown,Caucasian,"April 15, 1985",2006,Unknown,Unknown,Unknown,Unknown,Unknown,53 kg,167 cm
Kayla Paige,Kayla Page,Unknown,Caucasian,"May 8, 1983",2002,Unknown,Unknown,Unknown,Unknown,Unknown,59 kg,167 cm
Sophie Jane,"Redhead GirlNextDoor, Sophie Jane Glew",British,Caucasian,Unknown,Unknown,F,32F,81,Unknown,Unknown,Unknown,Unknown
Helena Valle,"Helena B, Elena Valle",Italian,Caucasian,Unknown,2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Katie Thornton,"Darby Day, Tye Thornton, DarbyDay",Unknown,Caucasian,"November 6, 1990",Unknown,J,32J,81,71 cm,86 cm,51 kg,165 cm
Alice Mido,Digital Geisha,Unknown,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,154 cm
Emily Bellexx,Unknown,British,Caucasian,Unknown,2022,B,32B,81,60 cm,81 cm,49 kg,162 cm
Brandy Smile,Sabrina Smile,Unknown,Caucasian,"July 23, 1986",2008,B,34B,86,68 cm,91 cm,51 kg,167 cm
Jessica Moore,"Rebecca Smith, Rebeca Smith, Antonia Moraliti",Unknown,Caucasian,"November 14, 1985",2005,DD,34DD,86,66 cm,93 cm,51 kg,154 cm
Lil Baby Lou,Unknown,Unknown,Unknown,Unknown,2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Marie Luv,"Marcie Luv, Marie Love, Destiny Big, Supreme BITCH, Quiana Marie Bryant",Unknown,Black,"November 1, 1981",2000,B,34B,86,60 cm,86 cm,61 kg,172 cm
Coco De Mal,"Coco Del Mar, Laposh Morda, Sakira, Coco Demal, Suzana, Coco Del Mal, Brabra, Barbra, Koko De Mal, Slimny Cash, Maria, Aleksandra, Coco De Mar",Unknown,Caucasian,"October 19, 1992",2012,B,34B,86,63 cm,96 cm,53 kg,167 cm
Jameliz Benitez Smith,"Jameliz Watermelondrip, Jelly Beans, Jamelizzzz, Jellybeans, Daisy Blooms",American,Latin,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,147 cm
Baby Bamby,"Lil Katt, Baby Bambi, Baby Mamby, Jasmin Aviafan, Natascha Hot",Russian,Caucasian,"May 27, 2002",2020,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,162 cm
Devon Michaels,Devin Michaels,Unknown,Latin,"March 8, 1970",1988,D,38D,96,60 cm,86 cm,51 kg,154 cm
Monica Santhiago,"Monique Santiago, Monica Santiago",Unknown,Latin,"April 1, 1975",2007,Unknown,Unknown,Unknown,Unknown,Unknown,60 kg,157 cm
Elina Sansd,Elina Sands,Venezuelan,Latin,"January 11, 2002",2023,Unknown,Unknown,35,25 cm,35 cm,42 kg,162 cm
Lita Phoenix,"Linda Y, Selena, Paige",Unknown,Caucasian,"May 30, 1993",2015,C,34C,86,66 cm,88 cm,44 kg,165 cm
Monique Mae,Unknown,Unknown,Asian,December 1985,2023,D,36D,91,71 cm,93 cm,52 kg,157 cm
Nella Jones,Kendall Rae,American,Caucasian,"August 18, 1997",2018,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,167 cm
Cameron Canada,Unknown,Unknown,Caucasian,"March 7, 1989",2011,B,34B,86,63 cm,91 cm,50 kg,157 cm
Alina Belle,Alina Bell,Unknown,Latin,"March 27, 1995",2019,DD,32DD,81,68 cm,96 cm,56 kg,152 cm
Marylin Crystal,"Marilyn Crystal, Stacy Crystal",Unknown,Caucasian,"August 11, 1997",2018,C,30C,76,60 cm,76 cm,Unknown,167 cm
Mia Cheers,Unknown,Unknown,Caucasian,April 2003,2023,A,32A,81,60 cm,81 cm,Unknown,167 cm
Mia Evans,Kacey,Unknown,Caucasian,"August 3, 1996",2016,A,34A,86,58 cm,88 cm,Unknown,167 cm
Nikole Nash,Unknown,American,Caucasian,"December 24, 1999",2020,C,32C,81,68 cm,81 cm,54 kg,160 cm
Helen Star,Unknown,Unknown,Caucasian,"November 1, 1995",2017,G,36G,91,66 cm,91 cm,51 kg,167 cm
Nude Chrissy,NudeChrissy,Unknown,Caucasian,"September 28, 1970",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,70 kg,167 cm
Zoe Grey,Unknown,British,Caucasian,"October 26, 1991",2022,F,32F,81,Unknown,Unknown,Unknown,160 cm
